Sample,F1,F2,F3,Ax,Ay,Az
1,1.0,2.0,3.0,0.01,-0.51,-1.01
2,1.0,2.0,3.0,0.0,-0.51,-1.02
3,1.0,2.0,3.0,-0.01,-0.51,-1.02
4,1.0,2.0,3.0,0.0,-0.52,-1.03
5,1.0,2.0,3.0,-0.0,-0.52,-1.02
6,1.0,2.0,3.0,-0.0,-0.51,-1.02
7,1.0,2.0,3.0,-0.01,-0.52,-1.02
8,1.0,2.0,3.0,0.0,-0.52,-1.02
9,1.0,2.0,3.0,-0.0,-0.51,-1.02
10,1.0,2.0,3.0,0.01,-0.52,-1.02
11,1.0,2.0,3.0,0.0,-0.52,-1.03
12,1.0,2.0,3.0,0.0,-0.51,-1.02
13,1.0,2.0,3.0,-0.01,-0.51,-1.03
14,1.0,2.0,3.0,0.0,-0.51,-1.01
15,1.0,2.0,3.0,-0.0,-0.52,-1.01
16,1.0,2.0,3.0,0.0,-0.52,-1.03
17,1.0,2.0,3.0,-0.0,-0.52,-1.0
18,1.0,2.0,3.0,-0.0,-0.51,-1.03
19,1.0,2.0,3.0,-0.0,-0.51,-1.02
20,1.0,2.0,3.0,-0.0,-0.52,-1.04
21,1.0,2.0,3.0,0.0,-0.51,-1.01
22,1.0,2.0,3.0,0.0,-0.52,-1.03
23,1.0,2.0,3.0,-0.0,-0.52,-1.02
24,1.0,2.0,3.0,-0.0,-0.52,-1.01
25,1.0,2.0,3.0,-0.0,-0.51,-1.02
26,1.0,2.0,3.0,0.0,-0.52,-1.03
27,1.0,2.0,3.0,-0.0,-0.51,-1.02
28,1.0,2.0,3.0,-0.0,-0.51,-1.03
29,1.0,2.0,3.0,-0.0,-0.52,-1.02
30,1.0,2.0,3.0,0.0,-0.52,-1.02
31,1.0,2.0,3.0,0.0,-0.52,-1.03
32,1.0,2.0,3.0,0.0,-0.52,-1.02
33,1.0,2.0,3.0,-0.0,-0.51,-1.02
34,1.0,2.0,3.0,-0.01,-0.52,-1.03
35,1.0,2.0,3.0,-0.0,-0.52,-1.02
36,1.0,2.0,3.0,-0.01,-0.51,-1.02
37,1.0,2.0,3.0,-0.0,-0.51,-1.02
38,1.0,2.0,3.0,0.0,-0.51,-1.03
39,1.0,2.0,3.0,-0.0,-0.51,-1.02
40,1.0,2.0,3.0,0.0,-0.52,-1.02
41,1.0,2.0,3.0,0.01,-0.52,-1.03
42,1.0,2.0,3.0,0.0,-0.52,-1.02
43,1.0,2.0,3.0,-0.01,-0.51,-1.01
44,1.0,2.0,3.0,0.0,-0.52,-1.02
45,1.0,2.0,3.0,-0.0,-0.51,-1.03
46,1.0,2.0,3.0,-0.0,-0.52,-1.02
47,1.0,2.0,3.0,0.0,-0.52,-1.03
48,1.0,2.0,3.0,-0.01,-0.51,-1.02
49,1.0,2.0,3.0,0.0,-0.51,-1.02
50,1.0,2.0,3.0,0.0,-0.52,-1.02
51,1.0,2.0,3.0,-0.0,-0.51,-1.02
52,1.0,2.0,3.0,-0.0,-0.52,-1.02
53,1.0,2.0,3.0,-0.0,-0.52,-1.03
54,1.0,2.0,3.0,-0.0,-0.52,-1.03
55,1.0,2.0,3.0,0.0,-0.52,-1.01
56,1.0,2.0,3.0,0.0,-0.51,-1.04
57,1.0,2.0,3.0,0.0,-0.52,-1.02
58,1.0,2.0,3.0,-0.0,-0.52,-1.02
59,1.0,2.0,3.0,0.0,-0.52,-1.02
60,1.0,2.0,3.0,0.0,-0.52,-1.02
61,1.0,2.0,3.0,-0.0,-0.51,-1.01
62,1.0,2.0,3.0,-0.0,-0.52,-1.01
63,1.0,2.0,3.0,0.0,-0.52,-1.02
64,1.0,2.0,3.0,0.0,-0.51,-1.02
65,1.0,2.0,3.0,0.0,-0.52,-1.03
66,1.0,2.0,3.0,-0.0,-0.52,-1.02
67,1.0,2.0,3.0,0.0,-0.52,-1.02
68,1.0,2.0,3.0,0.0,-0.52,-1.02
69,1.0,2.0,3.0,-0.0,-0.52,-1.03
70,1.0,2.0,3.0,-0.0,-0.52,-1.02
71,1.0,2.0,3.0,0.0,-0.51,-1.02
72,1.0,2.0,3.0,-0.01,-0.51,-1.02
73,1.0,2.0,3.0,-0.0,-0.51,-1.01
74,1.0,2.0,3.0,0.0,-0.51,-1.02
75,1.0,2.0,3.0,0.0,-0.52,-1.02
76,1.0,2.0,3.0,0.0,-0.52,-1.02
77,1.0,2.0,3.0,0.0,-0.51,-1.03
78,1.0,2.0,3.0,0.0,-0.51,-1.02
79,1.0,2.0,3.0,-0.0,-0.52,-1.01
80,1.0,2.0,3.0,0.0,-0.51,-1.02
81,1.0,2.0,3.0,0.0,-0.52,-1.03
82,1.0,2.0,3.0,0.01,-0.51,-1.02
83,1.0,2.0,3.0,-0.0,-0.52,-1.02
84,1.0,2.0,3.0,-0.0,-0.51,-1.02
85,1.0,2.0,3.0,-0.0,-0.51,-1.02
86,1.0,2.0,3.0,-0.0,-0.52,-1.02
87,1.0,2.0,3.0,-0.0,-0.52,-1.01
88,1.0,2.0,3.0,-0.0,-0.52,-1.02
89,1.0,2.0,3.0,0.0,-0.52,-1.02
90,1.0,2.0,3.0,0.0,-0.52,-1.03
91,1.0,2.0,3.0,0.0,-0.51,-1.02
92,1.0,2.0,3.0,-0.0,-0.52,-1.03
93,1.0,2.0,3.0,0.0,-0.51,-1.02
94,1.0,2.0,3.0,-0.0,-0.51,-1.02
95,1.0,2.0,3.0,-0.01,-0.52,-1.03
96,1.0,2.0,3.0,0.0,-0.51,-1.02
97,1.0,2.0,3.0,-0.0,-0.51,-1.02
98,1.0,2.0,3.0,-0.0,-0.52,-1.01
99,1.0,2.0,3.0,0.01,-0.52,-1.03
100,1.0,2.0,3.0,-0.0,-0.52,-1.02
101,1.0,2.0,3.0,-0.0,-0.52,-1.02
102,1.0,2.0,3.0,-0.01,-0.52,-1.02
103,1.0,2.0,3.0,-0.0,-0.52,-1.02
104,1.0,2.0,3.0,-0.0,-0.51,-1.03
105,1.0,2.0,3.0,0.0,-0.52,-1.03
106,1.0,2.0,3.0,0.0,-0.52,-1.02
107,1.0,2.0,3.0,0.0,-0.51,-1.02
108,1.0,2.0,3.0,-0.0,-0.52,-1.02
109,1.0,2.0,3.0,0.0,-0.52,-1.02
